Stock,Price,Qty,Date,Amount
BoBaroda,139.45,5,9/13/2022,697.25
HDFC Bank,1401.95,1,10/10/2022,1401.95
ICICI B,910.35,5,9/13/2022,4551.75
ICICI B,855.15,2,9/30/2022,1710.3
INFY,1474.45,1,9/6/2022,1474.45
INFY,1392.75,1,10/3/2022,1392.75
M&M,1250.05,2,9/16/2022,2500.1
M&M,1299.95,1,9/12/2022,1299.95
M&M,1287.9,1,9/6/2022,1287.9
NALCO,75.9,10,9/20/2022,759
NALCO,70.1,5,9/30/2022,350.5
NALCO,80.65,1,9/6/2022,80.65
PNB,36.3,3,9/30/2022,108.9
RELIANCE,2597.35,2,9/6/2022,5194.7
RELIANCE,2371.15,2,9/30/2022,4742.3
RELIANCE,2387.9,1,10/11/2022,2387.9
RELIANCE,2364.2,2,10/13/2022,4728.4
SBIN,558.4,5,9/13/2022,2792
SBIN,529,2,9/30/2022,1058
SBIN,562,-1,9/16/2022,-562
SBIN,562.2,-1,9/16/2022,-562.2
TATA Mot,395.75,3,10/10/2022,1187.25
TCS,3250,1,9/12/2022,3250
TCS,2985.9,1,10/3/2022,2985.9
TECHM,1032.75,3,9/16/2022,3098.25
TECHM,1003,2,9/30/2022,2006
TECHM,1154.2,1,9/12/2022,1154.2
TECHM,1106.95,1,9/14/2022,1106.95
TECHM,1057.45,1,9/6/2022,1057.45
TECHM,1032.65,1,10/11/2022,1032.65
TECHM,1006.55,3,10/13/2022,3019.65
WIPRO,412.6,2,9/6/2022,825.2
WIPRO,422.6,1,9/12/2022,422.6
WIPRO,401.05,-3,9/16/2022,-1203.15
WIPRO,382.15,5,10/13/2022,1910.75
TECHM,1082.12,-12,10/27/2022,-12985.44
RELIANCE,2433.99,-7,10/27/2022,-17037.93
INFY,1520.1,-2,10/27/2022,-3040.2
TCS,3161.2,-2,10/27/2022,-6322.4
NALCO,71.4,10,11/3/2022,714
TECHM,1059.35,5,11/3/2022,5296.75
TECHM,1052.6,5,11/3/2022,5263
M&M,1334.83,2,11/3/2022,2669.66
TATA Mot,416.55,3,11/3/2022,1249.65
