symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2022-09-06,NSE,EQ,EQ,buy,2.000000,2597.350000,78918837,1300000018227567,2022-09-06T13:26:46
M&M,INE101A01026,2022-09-07,NSE,EQ,EQ,buy,1.000000,1287.900000,51747738,1200000009815661,2022-09-07T11:27:39
TECHM,INE669C01036,2022-09-07,NSE,EQ,EQ,buy,1.000000,1057.450000,77975089,1300000015259796,2022-09-07T12:26:06
INFY,INE009A01021,2022-09-08,NSE,EQ,EQ,buy,1.000000,1474.450000,25386246,1100000001909320,2022-09-08T09:24:03
WIPRO,INE075A01022,2022-09-08,NSE,EQ,EQ,buy,2.000000,412.600000,79800899,1300000025611100,2022-09-08T14:56:34
NATIONALUM,INE139A01034,2022-09-09,NSE,EQ,EQ,buy,1.000000,80.650000,50492573,1200000002655192,2022-09-09T09:37:10
TCS,INE467B01029,2022-09-12,NSE,EQ,EQ,buy,1.000000,3250.000000,76907288,1300000008768827,2022-09-12T11:02:27
WIPRO,INE075A01022,2022-09-12,BSE,EQ,A,buy,1.000000,422.600000,5295100,1662953400110501523,2022-09-12T11:03:24
M&M,INE101A01026,2022-09-12,NSE,EQ,EQ,buy,1.000000,1299.950000,51596195,1200000008000548,2022-09-12T11:05:24
TECHM,INE669C01036,2022-09-12,NSE,EQ,EQ,buy,1.000000,1154.200000,76952474,1300000008969006,2022-09-12T11:06:48
SBIN,INE062A01020,2022-09-13,NSE,EQ,EQ,buy,5.000000,558.400000,75106602,1300000000485337,2022-09-13T09:16:22
ICICIBANK,INE090A01021,2022-09-13,NSE,EQ,EQ,buy,5.000000,910.350000,25107484,1100000000507523,2022-09-13T09:16:32
BANKBARODA,INE028A01039,2022-09-13,NSE,EQ,EQ,buy,5.000000,139.450000,175686,1000000000664439,2022-09-13T09:18:20
TECHM,INE669C01036,2022-09-14,NSE,EQ,EQ,buy,1.000000,1106.950000,76436892,1300000006959730,2022-09-14T10:03:56
TECHM,INE669C01036,2022-09-16,NSE,EQ,EQ,buy,3.000000,1032.750000,81789714,1300000030341921,2022-09-16T15:10:14
WIPRO,INE075A01022,2022-09-16,BSE,EQ,A,sell,3.000000,401.050000,15178600,1663319611769224698,2022-09-16T15:16:08
SBIN,INE062A01020,2022-09-16,NSE,EQ,EQ,sell,1.000000,562.000000,82147645,1300000031185909,2022-09-16T15:18:23
SBIN,INE062A01020,2022-09-16,NSE,EQ,EQ,sell,1.000000,562.200000,82185168,1300000031263186,2022-09-16T15:19:04
M&M,INE101A01026,2022-09-16,NSE,EQ,EQ,buy,2.000000,1250.050000,55721550,1200000029459763,2022-09-16T15:19:33
NATIONALUM,INE139A01034,2022-09-20,BSE,EQ,A,buy,10.000000,75.900000,276400,1663644600063021228,2022-09-20T09:19:17
RELIANCE,INE002A01018,2022-09-30,BSE,EQ,A,buy,2.000000,2371.150000,4972200,1664508600040586773,2022-09-30T12:08:02
TECHM,INE669C01036,2022-09-30,BSE,EQ,A,buy,2.000000,1003.000000,3640300,1664508600040749781,2022-09-30T12:09:52
NATIONALUM,INE139A01034,2022-09-30,BSE,EQ,A,buy,5.000000,70.100000,5635000,1664508600041784063,2022-09-30T12:10:51
ICICIBANK,INE090A01021,2022-09-30,BSE,EQ,A,buy,2.000000,855.150000,3661300,1664508600040743641,2022-09-30T12:12:11
SBIN,INE062A01020,2022-09-30,BSE,EQ,A,buy,2.000000,529.000000,3785700,1664508600046603983,2022-09-30T12:12:42
PNB,INE160A01022,2022-09-30,NSE,EQ,EQ,buy,3.000000,36.300000,52131344,1200000014530212,2022-09-30T12:13:43
TCS,INE467B01029,2022-10-03,BSE,EQ,A,buy,1.000000,2985.900000,1918100,1664767800061230164,2022-10-03T09:49:42
INFY,INE009A01021,2022-10-03,NSE,EQ,EQ,buy,1.000000,1392.750000,25946034,1100000005382339,2022-10-03T09:52:45
HDFCBANK,INE040A01034,2022-10-10,NSE,EQ,EQ,buy,1.000000,1401.950000,25269375,1100000001270686,2022-10-10T09:21:01
TATAMOTORS,INE155A01022,2022-10-10,NSE,EQ,EQ,buy,3.000000,395.750000,75329368,1300000001485995,2022-10-10T09:22:09
TECHM,INE669C01036,2022-10-11,BSE,EQ,A,buy,1.000000,1032.650000,406700,1665458101043062905,2022-10-11T09:28:05
RELIANCE,INE002A01018,2022-10-11,NSE,EQ,EQ,buy,1.000000,2387.900000,75520480,1300000002548847,2022-10-11T09:30:39
RELIANCE,INE002A01018,2022-10-13,NSE,EQ,EQ,buy,2.000000,2364.200000,75734854,1300000003658889,2022-10-13T09:42:09
TECHM,INE669C01036,2022-10-13,BSE,EQ,A,buy,3.000000,1006.550000,517000,1665631800259111735,2022-10-13T09:42:35
WIPRO,INE075A01022,2022-10-13,NSE,EQ,EQ,buy,5.000000,382.150000,76948139,1300000009842249,2022-10-13T11:21:30
NATIONALUM,INE139A01034,2022-10-13,BSE,EQ,A,buy,4.000000,71.300000,2457900,1665631800138625824,2022-10-13T11:22:45
TECHM,INE669C01036,2022-10-27,BSE,EQ,A,sell,8.000000,1082.100000,1751200,1666841400044599342,2022-10-27T10:18:26
TECHM,INE669C01036,2022-10-27,BSE,EQ,A,sell,4.000000,1082.150000,1751000,1666841400044599342,2022-10-27T10:18:26
RELIANCE,INE002A01018,2022-10-27,BSE,EQ,A,sell,2.000000,2433.950000,5464700,1666854527216145527,2022-10-27T13:19:42
RELIANCE,INE002A01018,2022-10-27,BSE,EQ,A,sell,5.000000,2434.000000,5464500,1666854527216145527,2022-10-27T13:19:42
INFY,INE009A01021,2022-10-27,NSE,EQ,EQ,sell,2.000000,1520.100000,28062705,1100000017201486,2022-10-27T13:21:33
TCS,INE467B01029,2022-10-27,NSE,EQ,EQ,sell,2.000000,3161.200000,78406265,1300000017034940,2022-10-27T13:22:54
NATIONALUM,INE139A01034,2022-11-03,BSE,EQ,A,buy,10.000000,71.400000,1195400,1667445336011423320,2022-11-03T09:53:31
TECHM,INE669C01036,2022-11-03,NSE,EQ,EQ,buy,5.000000,1059.350000,76291814,1300000006786049,2022-11-03T10:21:05
TECHM,INE669C01036,2022-11-03,NSE,EQ,EQ,buy,5.000000,1052.600000,78070346,1300000016528480,2022-11-03T13:27:27
M&M,INE101A01026,2022-11-03,BSE,EQ,A,buy,1.000000,1334.800000,2479800,1667457395353495437,2022-11-03T14:06:08
M&M,INE101A01026,2022-11-03,BSE,EQ,A,buy,1.000000,1334.850000,2480000,1667457395353495437,2022-11-03T14:06:08
TATAMOTORS,INE155A01022,2022-11-03,NSE,EQ,EQ,buy,3.000000,416.550000,78539362,1300000019048307,2022-11-03T14:15:09
